id,nombre,precio_minorista,precio_mayorista,categoria,stock,imagen,descripcion
13,Body Splash VS - Aqua Kiss Shimmer (250ml),24.6,19,Body Splash,0,https://i.ibb.co/v4pYDDWZ/BODY-SPLASH-VS-AQUA-KISS-SHIMMER-250-ML.png,Producto Original Importado.
14,Body Splash VS - Coconut Passion Shimmer (250ml),24.6,19,Body Splash,1,https://i.ibb.co/FGk37cp/BODY-SPLASH-VS-COCONUT-PASSION-SHIMMER-250-ML.png,Producto Original Importado.
15,Crema VS - Ginger Apple Jewel (236ml),24.6,19,Body Splash,1,https://i.ibb.co/B5BrmFmW/CREMA-VS-GINGER-APPLE-JEWEL-236-ML.png,Producto Original Importado.
16,Crema VS - Midnight Bloom (236ml),24.6,19,Body Splash,2,https://i.ibb.co/1fC9LTwy/CREMA-VS-MIDNIGHT-BLOOM-236-ML.png,Producto Original Importado.
17,Crema VS - Rush (236ml),24.6,19,Body Splash,1,https://i.ibb.co/TDXZW4TX/CREMA-VS-RUSH-236-ML.png,Producto Original Importado.
18,Crema VS - Sugar Plum Fig (236ml),24.6,19,Body Splash,3,https://i.ibb.co/RwHk5BK/CREMA-VS-SUGAR-PLUM-FIG-236-ML.png,Producto Original Importado.
19,Crema VS - Temptation (236ml),24.6,19,Body Splash,1,https://i.ibb.co/jxrcdx4/CREMA-VS-TEMPTATION-236-ML.png,Producto Original Importado.
20,Perfume Lattafa Art of Universe EDP (100ml),41.5,34,Perfumes Masculinos,1,https://i.ibb.co/CsvTTkGB/PERFUME-LATTAFA-ART-OF-UNIVERSE-EDP-100-ML.png,Fragancia Inspirada en Blue Talisman de Ex Nihilo.
21,Perfume Lattafa Asad Bourbon EDP (100ml),44.5,37,Perfumes Masculinos,0,https://i.ibb.co/Csb3BFGz/PERFUME-LATTAFA-ASAD-BOURBON-100-ML.png,Aroma amaderado calido con notas de bourbon pimienta negra y vainilla especiada.
22,Perfume Lattafa Asad Elixir EDP (100ml),45.5,38,Perfumes Masculinos,10,https://i.ibb.co/5XtnWdfW/PERFUME-LATTAFA-ASAD-ELIXIR-EDP-100-ML.png,Producto Original Importado.
23,Perfume Lattafa Kit Asad Collection EDP (4x25ml),48.5,41,Perfumes Masculinos,0,https://i.ibb.co/XfV3LG8s/PERFUME-LATTAFA-ASAD-COLLECTION-KIT-4-X25-ML.png,Producto Original Importado.
24,Perfume Lattafa Badee al Oud Honor & Glory EDP (100ml),43.5,36,Perfumes Masculinos,0,https://i.ibb.co/5gVpVb1M/PERFUME-LATTAFA-BADEE-AL-OUD-HONOR-GLORY-EDP-100-ML.png,Fragancia Inspirada en Oud for Greatness de Initio.
25,Perfume Lattafa Eclaire EDP (100ml),41.5,34,Perfumes Femeninos,7,https://i.ibb.co/ycbZH82t/PERFUME-LATTAFA-ECLAIRE-100-ML.png,Perfume dulce irresistible con notas de caramelo leche tibia miel y vainilla.
26,Perfume Lattafa Emaan EDP (100ml),37.5,30,Perfumes Femeninos,10,https://i.ibb.co/Lqg8375/PERFUME-LATTAFA-EMAAN-EDP-100-ML.png,Producto Original Importado.
27,Perfume Lattafa Hayaati Al Maleky EDP (100ml),26.5,19,Perfumes Masculinos,0,https://i.ibb.co/vvVPcpx8/PERFUME-LATTAFA-HAYAATI-AL-MALEKY-EDP-100-ML.png,Fragancia Inspirada en Phantom de Paco Rabanne.
28,Perfume Lattafa His Confession EDP (100ml),47.5,40,Perfumes Masculinos,1,https://i.ibb.co/q3YC97wX/PERFUME-LATTAFA-HIS-CONFESSION-EDP-100-ML.png,Producto Original Importado.
29,Perfume Lattafa Her Confession EDP (100ml),47.5,40,Perfumes Femeninos,2,https://i.ibb.co/7d2bp5Qq/PERFUME-LATTAFA-HER-CONFESSION-EDP-100-ML.png,Producto Original Importado.
30,Perfume Lattafa Khamrah Clásico EDP (100ml),40.5,33,Perfumes Masculinos,8,https://i.ibb.co/9knmz88p/PERFUME-LATTAFA-KHAMRAH-CLASICO-100-ML.png,Gourmand dulce oriental con canela vainilla haba tonka y madera calida especiada.
31,Perfume Lattafa Khamrah Qahwa EDP (100ml),41.5,34,Perfumes Masculinos,0,https://i.ibb.co/93m70CSS/PERFUME-LATTAFA-KHAMRAH-QAHWA-100-ML.png,Aroma calido e intenso de cafe tostado canela y especias dulces orientales.
32,Perfume Lattafa Fakhar Extrait EDP (100ml),37.5,30,Perfumes Masculinos,3,https://i.ibb.co/V0GzkK30/PERFUME-LATTAFA-FAKHAR-EXTRAIT-EDP-100-ML.png,Producto Original Importado.
33,Perfume Lattafa Musamam EDP (100ml),43.5,36,Perfumes Masculinos,1,https://i.ibb.co/1YbTY7LM/PERFUME-LATTAFA-MUSAMAM-EDP-100-ML.png,Producto Original Importado.
34,Perfume Lattafa Pride Nebras EDP (100ml),41.5,34,Perfumes Femeninos,0,https://i.ibb.co/Fb6XD2j7/PERFUME-LATTAFA-PRIDE-NEBRAS-EDP-100-ML.png,Producto Original Importado.
35,Perfume Lattafa Yara Rosa EDP (100ml),37.5,30,Perfumes Femeninos,10,https://i.ibb.co/CKqSKj2S/PERFUME-LATTAFA-YARA-ROSA-100-ML.png,Fragancia viral dulce y cremosa con orquidea vainilla y notas atalcadas ultra femeninas.
36,Perfume Lattafa Yara Candy EDP (100ml),37.5,30,Perfumes Femeninos,3,https://i.ibb.co/ccmSqHyt/PERFUME-LATTAFA-YARA-CANDY-100-ML.png,Version golosa y frutal con notas de golosinas frutales jarabe de fresa y vainilla.
37,Perfume Lattafa Yara Elixir EDP (100ml),45.5,38,Perfumes Femeninos,10,https://i.ibb.co/4Rzw1jHV/PERFUME-LATTAFA-YARA-ELIXIR-EDP-100-ML.png,Producto Original Importado.
38,Perfume Lattafa Yara Moi EDP (100ml),37.5,30,Perfumes Femeninos,1,https://i.ibb.co/7Jbqgs3T/PERFUME-LATTAFA-YARA-MOI-EDP-100-ML.png,Producto Original Importado.
39,Perfume Lattafa Kit Yara EDP (4x25ml),48.5,40,Perfumes Femeninos,5,https://i.ibb.co/0R69FNgy/PERFUME-KIT-LATTAFA-YARA-COLLECTION-4-X25-ML.png,Producto Original Importado.
40,Perfume Armaf Odyssey Mandarin Sky EDP (100ml),42.5,35,Perfumes Masculinos,8,https://i.ibb.co/5hCBd1Y5/PERFUME-ARMAF-ODYSSEY-MANDARIN-SKY.png,Aroma masculino dulce citrico con mandarina caramelo salado y haba tonka.
41,Perfume Armaf Delight Yum Yum EDP (100ml),49.5,42,Perfumes Femeninos,0,https://i.ibb.co/M5ygJSyd/PERFUME-ARMAF-DELIGHTS-YUM-YUM-EDP-100-ML.png,Producto Original Importado.
42,Perfume Afnan 9PM (Clásico) EDP (100ml),47.5,40,Perfumes Masculinos,0,https://i.ibb.co/gbGxQfvz/PERFUME-AFNAN-9-PM-CLASICO-100-ML.png,Perfume masculino nocturno dulce y seductor con manzana canela y vainilla intensa.
43,Perfume Afnan 9PM Night Out Extrait EDP (100ml),63.5,56,Perfumes Masculinos,0,https://i.ibb.co/1fbdtHn1/PERFUME-AFNAN-9-PM-NIGHT-OUT-100-ML.png,Perfume masculino nocturno dulce y seductor.
44,Perfume Al Haramain Amber oud Gold Edition EDP (120ml),65.5,58,Perfumes Masculinos,0,https://i.ibb.co/vxm7sb8z/PERFUME-AL-HARAMAIN-AMBER-OUD-GOLD-EDP-120-ML.png,Fragancia inspirada en Erba Pura de Xerjoff.
45,Perfume Bharara King EDP (100ml),61.5,54,Perfumes Masculinos,0,https://i.ibb.co/JwzgXnGg/PERFUME-BHARARA-KING-100-ML-EDP.png,Fragancia de lujo potente con explosion citrica y fondo amaderado dulce de gran estela.
46,Perfume Maison Alhambra Bad Femme EDP (100ml),33.5,26,Perfumes Femeninos,10,https://i.ibb.co/f5585xr/PERFUME-MAISON-ALHAMBRA-BAD-FEMME-EDP-100-ML.png,Producto Original Importado.
47,Perfume Maison Alhambra Salvo Intense EDP (100ml),33.5,26,Perfumes Masculinos,1,https://i.ibb.co/cSvWTcB0/PERFUME-MAISON-ALHAMBRA-SALVO-INTENSE-EDP-100-ML.png,Producto Original Importado.
48,Perfume Antonio Banderas Mediterráneo EDT (200ml),43.5,36,Perfumes Masculinos,1,https://i.ibb.co/Kzh71g09/PERFUME-ANTONIO-BANDERAS-MEDITERRANEO-EDT-200-ML.png,Producto Original Importado.
49,Perfume Hugo Boss Dark Blue EDT (75ml),52.5,45,Perfumes Masculinos,1,https://i.ibb.co/TxwGjPbZ/PERFUME-HUGO-BOSS-DARK-BLUE-EDT-75-ML.png,Producto Original Importado.
50,Perfume Kenzo Homme Intense EDT (110ml),95.5,88,Perfumes Masculinos,4,https://i.ibb.co/DcWXTZH/PERFUME-KENZO-HOMME-INTENSE-110-ML-EDT.png,Producto Original Importado.
51,Perfume Lancome La Vie Est Belle EDP (100ml),205.5,198,Perfumes Femeninos,1,https://i.ibb.co/VcCK901G/PERFUME-LANCOME-LA-VIE-EST-BELLE-EDP-100-ML.png,Producto Original Importado.
52,Perfume Paco Rabanne Lady Million EDP (80ml),99.5,92,Perfumes Femeninos,1,https://i.ibb.co/4gFFnjFP/PERFUME-PACO-RABANNE-LADY-MILLION-80-ML-EDP.png,Producto Original Importado.
53,Perfume Polo Red Ralph Lauren EDT (125ml),105.5,98,Perfumes Masculinos,1,https://i.ibb.co/N25hj46Y/PERFUME-POLO-RALPH-LAUREN-RED-EDT-125-ML.png,Producto Original Importado.
54,Crema Capilar Karseell Power Collagen 500ml (Linea Clásica),22.5,15,Productos en Tendencia,60,https://i.ibb.co/wrPWQQC5/KARSEEL-CREMA-CLASICA.png,Tratamiento intensivo de colageno y maca para reparacion profunda del cabello dañado.
55,Crema Capilar Karseell BNC Argan 550ml (Linea Nueva),25.5,18,Productos en Tendencia,40,https://i.ibb.co/Kj0rzkRs/KARSEEL-CREMA-BNC-ARGAN-550-ML-LINEA-NUEVA.png,Tratamiento intensivo de colageno y maca para reparacion profunda del cabello dañado.
56,Crema Capilar Karseell Matizadora Purple Hair Mask 500ml,26.5,26,Productos en Tendencia,10,https://i.ibb.co/R42Q1ScB/KARSEELL-MATIZADORA.png,Producto Original Importado - Neutraliza tonos amarillos - Reaviva el rubio o el gris - Deja rubios platinados de revista.
57,Oleo Aceite Capilar Karseell 50ml (Linea Clásica),15.25,11,Productos en Tendencia,30,https://i.ibb.co/60kvDtXw/KARSEELL-OLEO-CLASICO.png,Serum concentrado nutritivo que aporta brillo extremo elimina el frizz y protege la fibra.
58,Oleo Aceite Capilar Karseell BNC Argan 60ml (Linea Nueva),22.6,15,Productos en Tendencia,30,https://i.ibb.co/Q7pM3wSM/KARSEELL-OLEO-BNC-ARGAN-60-ML-LINEA-NUEVA.png,Serum concentrado nutritivo que aporta brillo extremo elimina el frizz y protege la fibra.
59,Kit Shampoo & Crema de Enjuague Karseell BNC Argan 500ml (Linea Nueva),39.5,32,Productos en Tendencia,8,https://i.ibb.co/1tR9Fg3J/KARSEEL-KIT-SHAMPOO-CREMA-DE-ENJUAGUE-BNC-ARGAN-500-ML-LINEA-NUEVA.png,Producto Original Importado.
60,Kit Travel Karseell Crema Power Collagen 100ml + Shampoo 70ml + Crema de Enjuague 70ml,17.5,13,Productos en Tendencia,0,https://i.ibb.co/spCW1WW1/KARSEELL-KIT-TRAVEL-100-ML-70-ML-70-ML.png,Producto Original Importado.
61,Serum facial Celimax Retinal Shot 15ML,33.5,26,Productos en Tendencia,10,https://i.ibb.co/1Gx6StVL/SERUM-FACIAL-CELIMAX-RETINAL-SHOT-15-ML.png,Producto Original Importado - Mejora Lineas de Expresión - Elimina manchas arrugas y poros.
62,Plancha Alisadora de Cabello Home Land 45W,18.68,11,Productos en Tendencia,4,https://i.ibb.co/LhvzVzRW/PLANCHA-ALISADORA-DE-CABELLO-HOME-LAND-45-W.png,
63,Cámara de Seguridad Foco Wifi,16.2,12,Productos en Tendencia,20,https://i.ibb.co/43SzQT6/CAMARA-DE-SEGURIDAD-FOCO.png,COMPLETAR INFORMACION.
64,Cargador Cabezal Apple Original 20W Tipo C Ficha Americana (Patas Rectas),38.8,28,Productos en Tendencia,10,https://i.ibb.co/hF1ZgWB1/CARGADOR-ORIGINAL-APPLE-20-W-FICHA-ESTADOUNIDENSE-PATAS-RECTAS.png,Producto Original Importado.
65,Auriculares Airpods Pro 2 Calidad Premium,25.5,17,Productos en Tendencia,30,https://i.ibb.co/Cs8L20pY/AURICULARES-AIRPODS-2-PRO-LINEA-PREMIUM.png,Auriculares inalambricos con excelente calidad de sonido estuche de carga y microfono.
66,Auriculares Vincha Jbl Tune T520BT Bluetooth,47.5,40,Productos en Tendencia,0,https://i.ibb.co/9HRYxLv0/AURICULAR-JBL-T520-T-BLUETOOTH.png,Producto Original Importado.
67,Auriculares Xiaomi Buds 6 Play (Negro-Blanco-Rosa),22.5,15,Productos en Tendencia,10,https://i.ibb.co/RkwVV3Yn/AURICULARES-BUDS-6-PLAY.png,Auriculares inalambricos con excelente calidad de sonido estuche de carga y microfono.
68,Auriculares Xiaomi Buds 8 Lite (Negro-Blanco),33.5,26,Productos en Tendencia,8,https://i.ibb.co/6dsJHbZ/AURICULARES-BUDS-8-LITE.png,Auriculares inalambricos con excelente calidad de sonido estuche de carga y microfono.
69,Repetidor Extensor Wifi Tp-Link RE200 AC750 Dual Band (2.4/5.8),31.5,24,Productos en Tendencia,4,https://i.ibb.co/FL9xxxPm/REPETIDOR-EXTENSOR-WIFI-TPLINK-RE200-AC750-DUAL-BAND.png,Fácil de instalar - Soporta velocidades de hasta 750Mbps.
70,Parlante JBL Flip 7,116.5,109,Productos en Tendencia,0,https://i.ibb.co/Q3F99DV8/PARLANTE-JBL-FLIP-7.png,Parlante bluetooth compacto portatil resistente al agua con graves potentes.
71,Amazon Echo Dot Alexa 5ta Generación,75.5,68,Productos en Tendencia,1,https://i.ibb.co/HDf6Qmhv/AMAZON-ECHO-DOT-ALEXA-5-TA-GENERACION.png,Modelo Nuevo & Mejorado - Multiples Funciones.
72,Mini Masajeador Eléctrico Corporal Multifuncional,6,4,Productos en Tendencia,20,https://i.ibb.co/5WDDzC0R/MINI-MASAJEADOR-ELECTRICO-PARCHE.png,Tipo Parche - 8 Modos de Masaje - Recargable - Ideal Deportistas.
73,Tarjeta de Memoria Microsd Kingston 256GB,44.5,37,Productos en Tendencia,5,https://i.ibb.co/kgcRQPkN/TARJETA-MEMORIA-MICROSD-KINGSTON-256-GB-150-MBPS.png,Canvas Select Plus - 150Mbps de Velocidad.
74,Tarjeta de Memoria Microsd Kingston 128GB,33.44,26,Productos en Tendencia,18,https://i.ibb.co/YFdVHjNS/TARJETA-MEMORIA-MICROSD-KINGSTON-128-GB-150-MBPS.png,Canvas Select Plus - 150Mbps de Velocidad.
75,Power Bank Xiaomi Cargador Portatil 10.000 mhA 22.5W Azul oscuro,33.44,26,Productos en Tendencia,1,https://i.ibb.co/whzpkn2c/POWER-BANK-XIAOMI-10000-MHA-22-5-W-COLOR-AZUL-OSCURO.png,Viene equipado con 2 puertos de salida USB-A + 1 USB-C con protección contra sobrecargas.
76,Power Bank Xiaomi Cargador Portatil 10.000 mhA 22.5W Blanco,33.44,26,Productos en Tendencia,4,https://i.ibb.co/jPP5B5Y6/POWER-BANK-XIAOMI-10000-MHA-22-5-W-COLOR-BLANCO.png,Viene equipado con 2 puertos de salida USB-A + 1 USB-C con protección contra sobrecargas.
77,Termo Stanley Classic 950ml (Color Azul Marino),89.5,82,Productos en Tendencia,1,https://i.ibb.co/twnfKcb2/TERMO-STANLEY-CLASSIC-950-ML-COLOR-AZUL-MARINO.png,Producto Original Importado.
78,Termo Stanley Mate System 1.2lts (Color Toast),105.5,98,Productos en Tendencia,1,https://i.ibb.co/rKyXVxXC/TERMO-STANLEY-MATE-SYSTEM-1-2-LTS-COLOR-TOAST.png,Producto Original Importado.
79,Anafe Eléctrico Smartfy Quemador Espiral 1000W,20.65,13,Productos en Tendencia,8,https://i.ibb.co/nNm3LXZX/ANAFE-ELECTRICO-SMARTFY-QUEMADOR-ESPIRAL-1000-W.png,COMPLETAR INFORMACION.
80,Tensiómetro Digital de Brazo Ecopower 2773,24.59,17,Productos en Tendencia,0,https://i.ibb.co/xqChphy5/TENSIOMETRO-DIGITAL-DE-BRAZO-ECOPOWER-2773-CON-LECTURA-POR-VOZ.png,Pantalla LCD - Memoria - Lectura por voz - Bateria de larga duración via USB-C / Pilas.
81,Tensiómetro Digital de Muñeca Automatico Westinghouse,19.55,12,Productos en Tendencia,2,https://i.ibb.co/h1xtNdmL/TENSIOMETRO-DIGITAL-DE-MU-ECA-WESTINGHOUSE-WHBPM5001.png,Pantalla LCD - Memoria - Utiliza 2 pilas AAA (No incluidas).
82,Consola PS5 SLIM 1TB Edicion Limitada (Con disco) Version Ghost of Yotei,865,864,Productos en Tendencia,3,https://i.ibb.co/Y4kZh362/CONSOLA-PS5-SLIM-EDICION-LIMITADA-CON-DISCO-1-TB-VERSION-GHOST-OF-YOTEI.png,Producto Original Importado.
83,Consola Retro Game Stick M15 PRO,44.91,34,Productos en Tendencia,0,https://i.ibb.co/qMXR1qbp/CONSOLA-BLULORY-GAME-STICK-M15-PRO-2-CONTROLES.png,Incluye 2 Joystick Inalámbricos estilo PS5 - Conexión via HDMI - Mas de 20.000 juegos.
84,Joystick Sony Dualsense PS5,110,94,Productos en Tendencia,10,https://i.ibb.co/HTDHJrSS/JOYSTICK-PS5-DUALSENSE.png,Producto original en caja cerrada - Diferentes Colores.
85,Joystick Sony Dualsense PS5 Edicion Limitada The Last Of Us,120,94,Productos en Tendencia,10,https://i.ibb.co/dsWHrqbG/JOYSTICK-PS5-DUALSENSE-EDICION-LIMITADA-THE-LAST-OF-US.png,Producto original en caja cerrada.
86,Kit Teclado & Mouse inalambrico Gamer Hk3800 2.4GHz,16,15,Productos en Tendencia,4,https://i.ibb.co/YFbr5DbL/KIT-TECLADO-MOUSE-INALAMBRICO-GAMER-HK3800-2-4-GHZ.png,Hasta 10mts de alcance - Utiliza Pilas AAA que no las incluye.
87,Funda de Silicona Apple Calidad Premium,3.60,3,Productos en Tendencia,20,https://i.ibb.co/7x1DkX8h/FUNDAS-SILICONA-IPHONE-CON-LOGO-2.jpg,Todos los Modelos. Diferentes Colores.
88,Vidrio Templado Calidad Premium,1,1,Productos en Tendencia,20,https://i.ibb.co/JFnxM4sy/VIDRIO-TEMPLADO-3-D.jpg,Todos los Modelos.
89,Localizador Samsung Smarttag 2 (Precio por unidad),25,24,Productos en Tendencia,2,https://i.ibb.co/4ntkQM5W/SAMSUNG-SMART-TAG-2-RASTREADOR.png,Producto Original Importado - Hasta 500 dias de bateria - Resistente al polvo y a la lluvia - Alcance 150mts
90,Campera de Abrigo Capucha Unisex Estilo Montaña,32,31,Camperas,2,https://i.ibb.co/kgw8P1P1/CAMPERA-NEVADA-SIN-LOGO-COLOR-NEGRA.png,Ultimas Unidades Talle M y Talle L.
91,Campera de Abrigo Reversible Unisex con capucha Color Crema,32,31,Camperas,2,https://i.ibb.co/278htn6G/CAMPERA-HOMBRE-CAPUCHA-REVERSIBLE-COLOR-CREMA.jpg,Ultimas Unidades Talle M y Talle XL.
92,Campera de Abrigo Revensible Unisex con capucha Color Azul,32,31,Camperas,1,https://i.ibb.co/vxk7cRjV/CAMPERA-HOMBRE-CAPUCHA-REVERSIBLE-COLOR-AZUL.jpg,Ultima Unidad Talle S.
93,Campera de Abrigo Capucha Unisex Logo Bordado Verde,32,31,Camperas,2,https://i.ibb.co/v9d5943/CAMPERA-HOMBRE-CAPUCHA-LOGO-BORDADO-COLOR-VERDE.jpg,Ultimas Unidades Talle S y Talle M.
94,Campera de Abrigo Capucha Unisex Logo Bordado Verde Oscuro,32,31,Camperas,1,https://i.ibb.co/Vp5XR2yg/CAMPERA-HOMBRE-CAPUCHA-LOGO-BORDADO-COLOR-VERDE-OSCURO.jpg,Ultima Unidad Talle L.
95,Campera de Abrigo Capucha Unisex con Interior Térmico Gris Oscuro,32,31,Camperas,1,https://i.ibb.co/1FWx78y/CAMPERA-UNISEX-CAPUCHA-INTERIOR-TERMICO-COLOR-GRIS-OSCURO.jpg,Ultima Unidad Talle L.
96,Campera de Abrigo Capucha Unisex con Interior Térmico Color Crema,32,31,Camperas,2,https://i.ibb.co/jvHcVQHr/CAMPERA-UNISEX-CAPUCHA-INTERIOR-TERMICO-COLOR-CREMA.jpg,Ultimas Unidades Talle XL y Talle XXL.
97,Telefono Philips Basico E2101 Dual Sim,29,28,Telefonos,1,https://i.ibb.co/rGG36Rq4/CELULAR-PHILIPS-BASICO-E2101-DUAL-CHIP.png,Producto Original Importado - No trae Whatsapp - Incluye Cargador.
98,Telefono Samsung Galaxy A07 128GB / 4GB,179,178,Telefonos,0,https://i.ibb.co/sph2KZW9/CELULAR-SAMSUNG-GALAXY-A07-128-GB-4-GB.png,Producto Original Importado - Funda & Templado de regalo - No Incluye Cargador.
99,Telefono Samsung Galaxy S26 Ultra SM-S948B 256GB / 12GB,1160,1159,Telefonos,2,https://i.ibb.co/prJS1CGp/TELEFONO-SAMSUNG-GALAXY-S26-ULTRA-SM-5938-B.png,Producto Original Importado. No Incluye Cargador.
100,Telefono Samsung Galaxy S26 Ultra SM-S948B 512GB / 12GB,1240,1239,Telefonos,2,https://i.ibb.co/prJS1CGp/TELEFONO-SAMSUNG-GALAXY-S26-ULTRA-SM-5938-B.png,Producto Original Importado. No Incluye Cargador.
101,Telefono Iphone 14 128GB / 4GB,650,648,Telefonos,2,https://i.ibb.co/ccRNZw0L/TELEFONO-IPHONE-14-128-GB.png,Producto Original Importado - Funda & Templado de regalo - No Incluye Cargador.
102,Telefono Iphone 15 128GB / 6GB,770,768,Telefonos,2,https://i.ibb.co/0pzRBSRH/TELEFONO-IPHONE-15-128-GB.png,Producto Original Importado - Funda & Templado de regalo - No Incluye Cargador.
103,Telefono Iphone 17 256GB / 8GB,1000,998,Telefonos,3,https://i.ibb.co/wrcSrkTB/TELEFONO-IPHONE-17-256-GB-8-GB-A3519.png,Producto Original Importado - Funda & Templado de regalo - No Incluye Cargador.
104,Telefono Iphone 17 Pro Max 256GB / 12GB,1340,1339,Telefonos,3,https://i.ibb.co/WW5QsXD9/CELULAR-IPHONE-17-PRO-MAX-256-GB-12-GB.png,Producto Original Importado - Funda & Templado de regalo - No Incluye Cargador.
105,Telefono Iphone 17 Pro Max 512GB / 12GB,1540,1539,Telefonos,3,https://i.ibb.co/WW5QsXD9/CELULAR-IPHONE-17-PRO-MAX-256-GB-12-GB.png,Producto Original Importado - Funda & Templado de regalo - No Incluye Cargador.
106,Telefono Xiaomi Redmi 15C 256GB / 8GB,190,189,Telefonos,1,https://i.ibb.co/nNTf7XjH/CELULAR-XIAOMI-REDMI-15-C-16-GB-256-GB.png,Producto Original Importado - Funda & Templado de regalo - Incluye Cargador.
107,Telefono Xiaomi Redmi Note 14 5G 256GB / 8GB,269,268,Telefonos,1,https://i.ibb.co/PZT2Bwbd/CELULAR-XIAOMI-REDMI-NOTE-14-5-G-256-GB-8-GB.png,Producto Original Importado - Incluye Cargador.
108,Telefono Xiaomi Redmi Note 14 Pro Plus 5G 256GB / 8GB,369,368,Telefonos,1,https://i.ibb.co/1JQ31VJq/CELULAR-XIAOMI-REDMI-NOTE-14-PRO-PLUS-5-G-256-GB-8-GB.png,Producto Original Importado - Incluye Cargador.
106,Telefono Xiaomi Redmi 15C 256GB / 8GB,190,189,Telefonos,1,https://i.ibb.co/nNTf7XjH/CELULAR-XIAOMI-REDMI-15-C-16-GB-256-GB.png,Producto Original Importado - Funda & Templado de regalo - Incluye Cargador.
107,Telefono Xiaomi Redmi Note 14 5G 256GB / 8GB,269,268,Telefonos,1,https://i.ibb.co/PZT2Bwbd/CELULAR-XIAOMI-REDMI-NOTE-14-5-G-256-GB-8-GB.png,Producto Original Importado - Incluye Cargador.
108,Telefono Xiaomi Redmi Note 14 Pro Plus 5G 256GB / 8GB,369,368,Telefonos,1,https://i.ibb.co/1JQ31VJq/CELULAR-XIAOMI-REDMI-NOTE-14-PRO-PLUS-5-G-256-GB-8-GB.png,Producto Original Importado - Incluye Cargador.
109,Telefono Motorola Moto G15 256GB / 4GB,210,209,Telefonos,5,https://i.ibb.co/kNRL9cK/TELEFONO-MOTO-G15-256-GB-4-GB.png,Producto Original Importado - Incluye Cargador.
110,Telefono Motorola Moto G56 256GB / 8GB,280,279,Telefonos,5,https://i.ibb.co/QF8zhKyR/TELEFONO-MOTO-G56-256-GB-8-GB.png,Producto Original Importado - Incluye Cargador.
111,Telefono Motorola Moto Edge 60 Fusion 256GB / 8GB,350,378,Telefonos,5,https://i.ibb.co/4nRW6ZW4/TELEFONO-MOTO-EDGE-60-FUSION-256-GB-8-GB.png,Producto Original Importado - Incluye Cargador.
112,Telefono Motorola Moto Edge 70 Fusion 256GB / 8GB,480,518,Telefonos,5,https://i.ibb.co/S7NfnMcv/TELEFONO-MOTO-EDGE-70-FUSION-256-GB-8-GB.png,Producto Original Importado - Incluye Cargador.
